ID,Class
image_set2_46,MRI
image_set2_47,MRI
image_set2_48,MRI
image_set2_49,MRI
image_set2_5,MRI
image_set2_50,MRI
image_set2_51,MRI
image_set2_52,MRI
image_set2_53,MRI
image_set2_54,MRI
image_set2_55,MRI
image_set2_56,MRI
image_set2_57,MRI
image_set2_58,MRI
image_set2_59,MRI
image_set2_6,MRI
image_set2_60,MRI
image_set2_61,MRI
image_set2_62,MRI
image_set2_63,MRI
image_set2_64,MRI
image_set2_65,MRI
image_set2_66,MRI
image_set2_67,MRI
image_set2_68,MRI
image_set2_69,MRI
image_set2_7,MRI
image_set2_70,MRI
image_set2_71,MRI
image_set2_72,MRI
image_set2_73,MRI
image_set2_74,MRI
image_set2_75,MRI
image_set2_76,MRI
image_set2_77,MRI
image_set2_78,MRI
image_set2_79,MRI
image_set2_8,MRI
image_set2_80,MRI
image_set2_81,MRI
image_set2_82,MRI
image_set2_83,MRI
image_set2_84,MRI
image_set2_85,MRI
image_set2_86,MRI
image_set2_87,MRI
image_set2_88,MRI
image_set2_89,MRI
image_set2_9,MRI
image_set2_90,MRI
image_set2_91,MRI
image_set2_92,MRI
image_set2_93,MRI
image_set2_94,MRI
image_set2_95,MRI
image_set2_96,MRI
image_set2_97,MRI
image_set2_98,MRI
image_set2_99,MRI
image_set3_1,MRI
image_set3_10,MRI
image_set3_100,MRI
image_set3_101,MRI
image_set3_102,MRI
image_set3_103,MRI
image_set3_104,MRI
image_set3_105,MRI
image_set3_11,MRI
image_set3_12,MRI
image_set3_13,MRI
image_set3_14,MRI
image_set3_15,MRI
image_set3_16,MRI
image_set3_17,MRI
image_set3_18,MRI
image_set3_19,MRI
image_set3_2,MRI
image_set3_20,MRI
image_set3_21,MRI
image_set3_22,MRI
image_set3_23,MRI
image_set3_24,MRI
image_set3_25,MRI
image_set3_26,MRI
image_set3_27,MRI
image_set3_28,MRI
image_set3_29,MRI
image_set3_3,MRI
image_set3_30,MRI
image_set3_31,MRI
image_set3_32,MRI
image_set3_33,MRI
image_set3_34,MRI
image_set3_35,MRI
image_set3_36,MRI
image_set3_37,MRI
image_set3_38,MRI
image_set3_39,MRI
image_set3_4,MRI
image_set3_40,MRI
image_set3_41,MRI
image_set3_42,MRI
image_set3_43,MRI
image_set3_44,MRI
image_set3_45,MRI
image_set3_46,MRI
image_set3_47,MRI
image_set3_48,MRI
image_set3_49,MRI
image_set3_5,MRI
image_set3_50,MRI
image_set3_51,MRI
image_set3_52,MRI
image_set3_53,MRI
image_set3_54,MRI
image_set3_55,MRI
image_set3_56,MRI
image_set3_57,MRI
image_set3_58,MRI
image_set3_59,MRI
image_set3_6,MRI
image_set3_60,MRI
image_set3_61,MRI
image_set3_62,MRI
image_set3_63,MRI
image_set3_64,MRI
image_set3_65,MRI
image_set3_66,MRI
image_set3_67,MRI
image_set3_68,MRI
image_set3_69,MRI
image_set3_7,MRI
image_set3_70,MRI
image_set3_71,MRI
image_set3_72,MRI
image_set3_73,MRI
image_set3_74,MRI
image_set3_75,MRI
image_set3_76,MRI
image_set3_77,MRI
image_set3_78,MRI
image_set3_79,MRI
image_set3_8,MRI
image_set3_80,MRI
image_set3_81,MRI
image_set3_82,MRI
image_set3_83,MRI
image_set3_84,MRI
image_set3_85,MRI
image_set3_86,MRI
image_set3_87,MRI
image_set3_88,MRI
image_set3_89,MRI
image_set3_9,MRI
image_set3_90,MRI
image_set3_91,MRI
image_set3_92,MRI
image_set3_93,MRI
image_set3_94,MRI
image_set3_95,MRI
image_set3_96,MRI
image_set3_97,MRI
image_set3_98,MRI
image_set3_99,MRI
image_set4_1,MRI
image_set4_10,MRI
image_set4_11,MRI
image_set4_12,MRI
image_set4_13,MRI
image_set4_14,MRI
image_set4_15,MRI
image_set4_16,MRI
image_set4_17,MRI
image_set4_18,MRI
image_set4_19,MRI
image_set4_2,MRI
image_set4_20,MRI
image_set4_21,MRI
image_set4_22,MRI
image_set4_23,MRI
image_set4_24,MRI
image_set4_25,MRI
image_set4_26,MRI
image_set4_27,MRI
image_set4_28,MRI
image_set4_29,MRI
image_set4_3,MRI
image_set4_30,MRI
image_set4_31,MRI
image_set4_32,MRI
image_set4_33,MRI
image_set4_34,MRI
image_set4_35,MRI
image_set4_36,MRI
image_set4_37,MRI
image_set4_38,MRI
image_set4_39,MRI
image_set4_4,MRI
image_set4_40,MRI
image_set4_41,MRI
image_set4_42,MRI
image_set4_43,MRI
image_set4_44,MRI
image_set4_45,MRI
image_set4_46,MRI
image_set4_47,MRI
image_set4_48,MRI
image_set4_49,MRI
image_set4_5,MRI
image_set4_50,MRI
image_set4_51,MRI
image_set4_52,MRI
image_set4_53,MRI
image_set4_54,MRI
image_set4_55,MRI
image_set4_56,MRI
image_set4_57,MRI
image_set4_58,MRI
image_set4_59,MRI
image_set4_6,MRI
image_set4_60,MRI
image_set4_61,MRI
image_set4_62,MRI
image_set4_63,MRI
image_set4_64,MRI
image_set4_65,MRI
image_set4_66,MRI
image_set4_67,MRI
image_set4_68,MRI
image_set4_69,MRI
image_set4_7,MRI
image_set4_70,MRI
image_set4_71,MRI
image_set4_72,MRI
image_set4_73,MRI
image_set4_74,MRI
image_set4_8,MRI
image_set4_9,MRI
